geniusId,type,artistId,name
8498335,producer,667980,Takagi & Ketra
8498335,writer,1453163,Geolier
8498335,writer,380028,Lazza
8498335,writer,1022585,Davide Petrella
8498335,writer,608753,Takagi
8498335,writer,1159809,Ketra
8557768,producer,1014862,Dat Boi Dee
8557768,producer,1792180,Poison Beatz
8557768,writer,1453163,Geolier
8616532,producer,380028,Lazza
8616532,writer,1558219,MILES
8616532,writer,335648,Low Kidd
8581021,producer,1592302,Adam11
8581021,producer,1618302,​madfingerz
8581021,producer,1316032,Drillionaire
8581021,writer,667428,Shiva
8581021,writer,145160,Pyrex (ITA)
8581021,writer,2334088,Ibra The Boy
8581021,writer,2334087,Prince The Goat
8581021,writer,2830785,Emilio Antonio Barberini
8581021,feature,1528151,Slings
7762945,producer,40283,Zef
7762945,producer,1008860,Marz (ITA)
7762945,writer,47631,Elisa
8616527,producer,380028,Lazza
8616527,writer,1316032,Drillionaire
8616527,writer,1558219,MILES
8616527,writer,335648,Low Kidd
8155626,producer,2651116,Finesse (ITA)
8155626,producer,1459666,Giulio Nenna
8155626,producer,2056442,Eydren
8155626,producer,1230754,Andrea DB Debernardi
8155626,writer,665242,Irama
8155626,writer,1610630,Giuseppe Colonnelli
8616528,producer,380028,Lazza
8616528,writer,1316032,Drillionaire
8616528,writer,1558219,MILES
8616528,writer,335648,Low Kidd
7982829,producer,3158284,Raffa FL
7982829,writer,1177419,Walter Leon Aguilar
7009020,producer,1618302,​madfingerz
7009020,producer,1592302,Adam11
7009020,writer,667428,Shiva
7009020,writer,2476422,Rhove
3956035,producer,684484,Sissa
3956035,writer,997015,Roby Santini
3956035,writer,641819,Eddy Veerus
6345119,producer,260109,MACE
6345119,writer,2362235,BLANCO
6345119,writer,33882,Salmo
6345119,writer,1467302,Venerus
7780518,producer,129843,Kermit
7780518,writer,1967589,Paky
7780518,writer,1316032,Drillionaire
3924596,producer,1510239,DLN Studio
3924596,producer,1564571,DJ Swat
3924596,writer,1516709,MC L da Vinte
3924596,writer,1482331,MC Gury
8386448,producer,3148719,PUCHE
8386448,producer,326865,Noize
8386448,producer,2373201,Mizu
8386448,writer,3050711,TOY WAPO
8386448,writer,1254985,Mora
