from_genius_id,to_genius_id,type
7982829,1965303,samples
3956035,924270,samples
6345119,6922396,samples
7780518,8612417,samples
7371142,3317482,interpolates
8464695,1810153,interpolates
6838492,133137,interpolates
4589199,1834090,samples
7712660,927994,samples
7712660,1392997,interpolates
7450003,49919,samples
7450003,5901154,interpolates
7450003,7308841,interpolates
7450003,5901153,interpolates
7450003,5901155,interpolates
7450003,5840174,interpolates
7450003,5890515,interpolates
7450003,5567975,interpolates
7450003,5886204,interpolates
7450003,5678479,interpolates
6065451,6115750,interpolates
7076040,4396350,interpolates
7158720,2093060,samples
7641652,1115584,interpolates
8638649,707749,interpolates
7847535,7132804,interpolates
51012,7586449,interpolates
6380777,2219070,samples
8247964,8348343,samples
7485595,8145890,samples
7727661,371910,interpolates
8198566,590722,samples
8501449,371532,samples
7989684,116246,samples
7989684,11268141,samples
8663435,45429,samples
3057010,3038088,interpolates
8634150,983992,interpolates
8404857,85859,samples
8687594,210627,samples
8385134,116531,interpolates
7643953,85221,interpolates
8179333,8704479,samples
8599606,1122521,samples
6433459,6922407,samples
8357473,5199386,interpolates
6009939,316460,samples
7137816,8304356,samples
7968180,52968,interpolates
8161982,685385,samples
5983087,10978827,samples
5983087,6897250,interpolates
8642225,731783,interpolates
2353006,2468566,samples
3844246,2894650,interpolates
8681858,6192325,interpolates
8681858,7639111,interpolates
8681919,326768,samples
8693055,116329,interpolates
8595972,1685209,samples
4137367,102751,samples
8521277,8037591,interpolates
8742220,8227210,interpolates
8173026,9970580,samples
8693053,26923,samples
8693053,1497357,samples
8693053,1444994,interpolates
8693042,8722549,samples
8681921,8847464,samples
8735938,5397,samples
8400037,7494813,samples
8535478,5487669,samples
5199814,410195,samples
8403290,3498916,interpolates
8706129,3632242,interpolates
8427758,24543,interpolates
3622005,374662,interpolates
8324985,2827923,interpolates
8706126,6134127,interpolates
7791706,6012716,samples
7791706,7371142,interpolates
7967836,66259,samples
8126212,126800,interpolates
8197079,2178559,samples
8197079,667,interpolates
8214933,2411207,samples
5161828,3827533,interpolates
7317735,8740085,interpolates
6386251,11262934,samples
6740711,4168754,interpolates
8733311,980437,samples
8733311,5931,interpolates
8651312,6072490,interpolates
8504865,57296,interpolates
8504865,6553138,interpolates
8806118,352608,interpolates
8400049,1005020,samples
6728094,98603,samples
8781485,703741,interpolates
8781485,4087710,interpolates
8798813,641385,interpolates
8798813,7499070,interpolates
8296152,2836149,interpolates
8110202,1101793,interpolates
8488557,3994241,interpolates
8253434,3539284,samples
8467802,2843978,interpolates
7306981,3439432,samples
8412628,724055,samples
8412628,1979041,interpolates
8820218,2981206,interpolates
8464266,4906284,samples
8705220,7010507,interpolates
1629,6475781,samples
1629,6928198,interpolates
1629,11315204,interpolates
8475909,243002,interpolates
8696611,2545,samples
8696611,7634745,interpolates
8696611,7942248,interpolates
4212064,8748152,samples
7771479,180442,samples
8814263,776750,samples
8821223,464169,samples
8832857,32426,interpolates
8829528,3788041,interpolates
8829528,4591643,interpolates
8847169,2895048,interpolates
8122053,3290349,samples
8122053,982873,samples
8855532,129806,samples
8855532,1360,interpolates
8692081,71518,samples
8640631,4075077,samples
8872561,8918215,samples
8662386,7176441,samples
8662386,3052233,samples
8852154,732801,samples
8490754,1782059,interpolates
8490754,3897728,interpolates
8689815,122542,interpolates
8689815,152579,interpolates
8689815,220982,interpolates
8689815,5115671,interpolates
8832304,2450753,samples
8877289,1646868,samples
8693044,8724426,samples
8719684,3584563,interpolates
8294618,1496011,samples
7216630,7755489,interpolates
8778667,6591973,interpolates
8779340,7971544,samples
8779340,8616822,samples
8643672,202,interpolates
8404859,600644,samples
3614926,1121892,samples
8815473,1216607,interpolates
8815473,5217557,interpolates
8830867,2818003,samples
8720798,5655692,interpolates
8363765,1960617,interpolates
7980594,8742360,interpolates
8856881,2292971,interpolates
8723233,3348293,interpolates
8921051,90478,interpolates
8921051,39273,interpolates
8921051,1798,interpolates
8921051,2430486,interpolates
8364047,239378,samples
8806121,1797,samples
4437567,3095180,samples
8650679,2173904,interpolates
8497347,109486,samples
8497347,1899926,interpolates
8096732,150074,samples
8902648,1090301,interpolates
8555109,495107,samples
8519659,3033836,samples
