spotifyId,trackName,artistName,releaseDate,geniusId,geniusTrackName,geniusArtistName,geniusReleaseDate,trackLanguage
spotify:track:36EFgeHW1tOUyMAhZ6cjfD,CHIAGNE (feat. Lazza & Takagi & Ketra),Geolier,2022-10-28,8498335,CHIAGNE,Geolier (Ft. Lazza & Takagi & Ketra),2022-10-28,pl
spotify:track:1EOTrGOcrCwTG1nhUnp0dV,MONEY,Geolier,2022-11-18,8557768,MONEY,Geolier,2022-11-18,en
spotify:track:65SQUmt3OT8puVhZDbaQYB,NESSUNO (Concertos),Lazza,2022-04-07,8616532,NESSUNO (Concertos),Lazza,2022-12-16,it
spotify:track:63udU8F2jbjyys9BpVgPdU,Rollie AP (feat. Pyrex & Slings),Shiva,2022-11-25,8581021,Rollie AP,Shiva (Ft. Pyrex (ITA) & Slings),2022-11-25,en
spotify:track:5KkcthkQDnlhQN0WhO8DsM,Bagno a mezzanotte,Elodie,2022-03-08,7762945,Bagno a mezzanotte,Elodie,2022-03-09,it
spotify:track:0dF60HV9whLaAmJSkFoPsG,ALIBI (Concertos),Lazza,2022-04-07,8616527,ALIBI (Concertos),Lazza,2022-12-16,it
spotify:track:0N8UI3JyFSif4lKWLbb0mL,PAMPAMPAMPAMPAMPAMPAMPAM,Irama,2022-07-01,8155626,PAMPAMPAMPAMPAMPAMPAMPAM,Irama,2022-06-01,it
spotify:track:7mFspLWTOXPrB5GCG5HYnV,MOLOTOV (Concertos),Lazza,2022-04-07,8616528,MOLOTOV (Concertos),Lazza,2022-12-16,it
spotify:track:15223sfwoQj4IAJL8GSnfO,Ritmo,Raffa Fl,2021-08-13,7982829,Ritmo,Raffa FL,2021-08-13,es
spotify:track:2Q1ICiLBk9lmLQz7GhMoWB,La zone (feat. Shiva),Rhove,2021-07-16,7009020,La Zone,Rhove (Ft. Shiva),2021-07-16,en
spotify:track:5BqUbKq9rCMrCkRtAiz8XA,Settimana Bianca,Il Pagante,2018-09-21,3956035,Settimana Bianca,Il Pagante,2018-09-21,it
spotify:track:1uXJYnCsXy2v50y0fDEEiV,LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO),MACE,2021-06-17,6345119,LA CANZONE NOSTRA ⟁,MACE (Ft. BLANCO & Salmo),2021-01-08,it
spotify:track:7Jgi200kgCNvAuZw2W8Nxq,Mi manchi,Paky,2022-10-21,7780518,Mi manchi,Paky,2022-03-11,it
