index_from,spotifyId_from,trackName_from,artistName_from,releaseDate_from,geniusId_from,geniusTrackName_from,geniusArtistName_from,geniusReleaseDate_from,trackLanguage_from,from_genius_id,to_genius_id,type,index_to,spotifyId_to,trackName_to,artistName_to,releaseDate_to,geniusId_to,geniusTrackName_to,geniusArtistName_to,geniusReleaseDate_to,trackLanguage_to
2.0,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,2022-05-20,7844309,As It Was,Harry Styles,2022-04-01,en,7844309,118904,samples,,,,,,118904,Take on Me,a-ha,1985-04-05,en
3.0,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,2022-08-26,3037193,I’m Good (Blue),David Guetta & Bebe Rexha,2022-08-26,en,3037193,57225,interpolates,,,,,,57225,Blue (Da Ba Dee),Eiffel 65,1999-11-30,
4.0,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022-12-02,8601823,Creepin’,"Metro Boomin, The Weeknd & 21 Savage",2022-12-02,en,8601823,1942973,samples,,,,,,1942973,Boadicea,Enya,1987-03-01,
4.0,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022-12-02,8601823,Creepin’,"Metro Boomin, The Weeknd & 21 Savage",2022-12-02,en,8601823,32426,samples,,,,,,32426,I Don’t Wanna Know,Mario Winans (Ft. Diddy & Enya),2003-11-18,
4.0,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022-12-02,8601823,Creepin’,"Metro Boomin, The Weeknd & 21 Savage",2022-12-02,en,8601823,927,samples,,,,,,927,You’re a Customer,EPMD,1988-06-07,
4.0,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022-12-02,8601823,Creepin’,"Metro Boomin, The Weeknd & 21 Savage",2022-12-02,en,8601823,32426,interpolates,,,,,,32426,I Don’t Wanna Know,Mario Winans (Ft. Diddy & Enya),2003-11-18,
4.0,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022-12-02,8601823,Creepin’,"Metro Boomin, The Weeknd & 21 Savage",2022-12-02,en,8601823,7834096,interpolates,,,,,,7834096,Another One Of Me,"Diddy, The Weeknd & French Montana (Ft. 21 Savage)",2023-09-15,en
4.0,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022-12-02,8601823,Creepin’,"Metro Boomin, The Weeknd & 21 Savage",2022-12-02,en,8601823,7554546,interpolates,,,,,,7554546,Sacrifice,The Weeknd,2022-01-07,
8.0,spotify:track:2mnXxnrX5vCGolNkaFvVeM,La Jumpa,Arcángel,2022-12-01,8598733,La Jumpa,Arcángel & Bad Bunny,2022-11-30,es,8598733,1733000,interpolates,,,,,,1733000,Pa’ Que La Pases Bien,Arcángel,2008-02-04,
9.0,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny,2022-05-06,7967957,Me Porto Bonito,Bad Bunny & Chencho Corleone,2022-05-06,es,7967957,1818547,interpolates,,,,,,1818547,Frikitona,Plan B,2006-01-01,
13.0,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,2022-11-04,8524075,Rich Flex,Drake & 21 Savage,2022-11-04,en,8524075,9555107,samples,,,,,,9555107,"I Want You, Girl",Sugar (Soul Group),1973-01-01,
13.0,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,2022-11-04,8524075,Rich Flex,Drake & 21 Savage,2022-11-04,en,8524075,5319977,interpolates,,,,,,5319977,Savage,Megan Thee Stallion,2020-03-06,
13.0,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,2022-11-04,8524075,Rich Flex,Drake & 21 Savage,2022-11-04,en,8524075,2280469,interpolates,,,,,,2280469,Red Opps,21 Savage,2015-07-02,
13.0,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Drake,2022-11-04,8524075,Rich Flex,Drake & 21 Savage,2022-11-04,en,8524075,4373,interpolates,,,,,,4373,24's,T.I.,2003-04-15,
