from_genius_id,to_genius_id,type
7844309,118904,samples
3037193,57225,interpolates
8601823,1942973,samples
8601823,32426,samples
8601823,927,samples
8601823,32426,interpolates
8601823,7834096,interpolates
8601823,7554546,interpolates
8598733,1733000,interpolates
7967957,1818547,interpolates
8524075,9555107,samples
8524075,5319977,interpolates
8524075,2280469,interpolates
8524075,4373,interpolates
8524075,3040497,interpolates
8524075,8110900,interpolates
8524075,7539065,interpolates
8524075,28602,interpolates
8524075,39389,interpolates
8524075,156640,interpolates
7967836,66259,samples
7967959,2081328,samples
7967959,7125261,interpolates
8427758,24543,interpolates
8192862,8957789,interpolates
8599539,135402,samples
8599539,135402,interpolates
2911557,345021,interpolates
1797,349933,interpolates
8213274,2826117,interpolates
8173139,8264237,interpolates
8219830,428052,samples
8219830,85567,samples
8219830,861093,interpolates
7967960,7124700,samples
8214933,2411207,samples
5983087,10978827,samples
5983087,6897250,interpolates
5049949,8575131,samples
5049949,727466,interpolates
5049949,622976,interpolates
5049949,118904,interpolates
8385416,9011152,samples
7096046,390571,samples
7096046,390442,samples
7096046,390693,samples
7096046,1059,samples
7096046,1059,interpolates
7096046,390571,interpolates
2851948,103667,samples
2851948,3134211,interpolates
2851948,3039459,interpolates
2851948,2475074,interpolates
8598927,1353,samples
8598927,6784689,interpolates
8078287,320138,interpolates
7823996,64338,samples
7823996,1958097,samples
3614926,1121892,samples
8359943,2184825,samples
7910627,5215007,interpolates
8357473,5199386,interpolates
8200803,6311197,samples
8200803,7202507,samples
7970911,8673433,interpolates
7970911,8910910,interpolates
7970911,9738692,interpolates
811,148008,interpolates
811,118576,interpolates
8416396,774585,interpolates
8400037,7494813,samples
8400037,7494813,interpolates
3614919,54477,samples
3614919,2866981,samples
3614919,639914,samples
3614919,4431789,interpolates
4694697,4759464,interpolates
4694697,1542695,interpolates
3422526,9218269,samples
3422526,8044978,samples
3422526,2900891,interpolates
8110900,8137430,samples
8110900,913130,samples
8110900,1829067,samples
8110900,7165580,interpolates
8110900,6727501,interpolates
49192,2215112,interpolates
8547983,3570255,samples
7471808,7129752,samples
57234,2256287,samples
8197996,19348,samples
8197996,11214414,interpolates
8195634,97070,samples
8195634,2161,samples
8195634,325713,interpolates
8195634,2795,interpolates
8195634,118027,interpolates
8195634,58325,interpolates
8195634,4762958,interpolates
8195634,9620656,interpolates
599427,37920,interpolates
1352,81109,samples
1352,2929,interpolates
1352,81109,interpolates
8520705,8633584,samples
8520705,8767351,interpolates
7260084,9528611,samples
7260084,1111222,interpolates
8618975,10501616,interpolates
7817111,2204,samples
531,68,samples
6556752,7256074,interpolates
6556752,607314,interpolates
6556752,9801179,interpolates
6083409,9799169,samples
6083409,7081663,interpolates
6083409,7048271,interpolates
6083409,536,interpolates
6083409,3876996,interpolates
6083409,6958019,interpolates
6083409,482577,interpolates
6083409,9067098,interpolates
6083409,9083217,interpolates
6083409,9130609,interpolates
8274559,134525,interpolates
8274559,634,interpolates
8274559,1819,interpolates
8274559,263,interpolates
122542,1548,samples
3057010,3038088,interpolates
8601684,5053007,samples
8601684,3088164,samples
727466,2968362,samples
5161828,3827533,interpolates
8402522,154808,samples
8402522,1994085,interpolates
8402522,7175978,interpolates
5139,1960995,interpolates
5139,338935,interpolates
10692,6262650,samples
10692,784505,samples
7909890,527658,samples
7909890,8091935,samples
4547279,152579,samples
4547279,8396212,interpolates
2818291,11456542,interpolates
6702232,102297,interpolates
