index,spotifyId,trackName,artistName,releaseDate,geniusId,geniusTrackName,geniusArtistName,geniusReleaseDate,trackLanguage_x,trackLanguage_y
0.0,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,2022-12-08,8616820,Kill Bill,SZA,2022-12-09,en,
1.0,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith,2022-09-22,8302862,Unholy,Sam Smith & Kim Petras,2022-09-22,en,
2.0,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,2022-05-20,7844309,As It Was,Harry Styles,2022-04-01,en,
3.0,spotify:track:4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,2022-08-26,3037193,I’m Good (Blue),David Guetta & Bebe Rexha,2022-08-26,en,
4.0,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2022-12-02,8601823,Creepin’,"Metro Boomin, The Weeknd & 21 Savage",2022-12-02,en,
5.0,spotify:track:5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,2022-05-26,7993307,La Bachata,Manuel Turizo,2022-05-26,es,
6.0,spotify:track:0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,2022-10-21,8434253,Anti-Hero,Taylor Swift,2022-10-21,en,
7.0,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,8085325,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2022-07-06,es,
8.0,spotify:track:2mnXxnrX5vCGolNkaFvVeM,La Jumpa,Arcángel,2022-12-01,8598733,La Jumpa,Arcángel & Bad Bunny,2022-11-30,es,
9.0,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny,2022-05-06,7967957,Me Porto Bonito,Bad Bunny & Chencho Corleone,2022-05-06,es,
10.0,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,2022-04-22,7951332,Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold,2022-04-22,en,
